hand	heroPosition	heroHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	6h5s	Kh3s3dTh8d	-1200	-12.000	4	5	b200b300c/b300c/b600c/kk
2	Button	AcJs	QdJh8sTh8h	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
3	BigBlind	Jh3s	AdKsJc	300	3.000	2	3	b200b300c/b300f
4	Button	3h8h		750	7.500	2	2	b250b750b1250f
5	BigBlind	6c9c		50	0.500	0	1	f
6	Button	9cTc		100	1.000	1	1	b300f
7	BigBlind	5dTd	Kc8s7c9d	3000	30.000	4	5	b200b300c/b300b1500b2700c/b3000f
8	Button	5c8s	Td9c5s	250	2.500	2	3	b250c/kb400f
9	BigBlind	7cJs	AhTs9s6s	600	6.000	3	4	b200b300c/b300c/b600f
10	Button	QcJh	9h5c3h3dQd	2400	24.000	4	7	b300c/kb300c/kb600c/b1200b3900f
11	BigBlind	2h9s		50	0.500	0	1	f
12	Button	2dAd	JsTsThAs3d	-20000	-200.000	4	3	b300b900b1800b8100b15550b20000c///
13	BigBlind	4cTs	Td7h6s	300	3.000	2	3	b200b300c/b450f
14	Button	4s9s	JsTd6s	250	2.500	2	3	b250c/kb400f
15	BigBlind	8c7s	Ac7c2s	300	3.000	2	3	b200b300c/b450f
16	Button	8dTh	QdTs7sJc	650	6.500	3	5	b250c/kb400c/kb1000f
17	BigBlind	8c4d	JcTc4h	300	3.000	2	3	b200b300c/b300f
18	Button	Tc7d	KsJs2c	250	2.500	2	3	b250c/kb250f
19	BigBlind	6dJh	KsJc3d	300	3.000	2	3	b200b300c/b450f
20	Button	Qh3s		100	1.000	1	1	b250f
21	BigBlind	6s7s		50	0.500	0	1	f
22	Button	8dJd		100	1.000	1	1	b300f
23	BigBlind	5cJc		50	0.500	0	1	f
24	Button	9dQh		100	1.000	1	1	b300f
25	BigBlind	TcKd	As8c7c9s2s	5400	54.000	5	6	b200b450c/b450b1350b2250c/b2700c/b5400f
26	Button	6c6h		100	1.000	1	1	b300f
27	BigBlind	3dKd	Jc8d4d	3300	33.000	3	4	b200b300b1800b3300c/b4950f
28	Button	5cAc	QhTdTc7h3h	-18800	-188.000	5	8	b300b900b1800c/b100b2900c/kb4700c/kb9400c
29	BigBlind	Kh4s	As9s7d	3300	33.000	3	4	b200b300b1800b3300c/b3300f
30	Button	3d9h	Jc3s2s	1500	15.000	3	4	b250c/kb400b1250b2850f
31	BigBlind	4c7d	Qh9c7s	300	3.000	2	3	b200b300c/b450f
32	Button	Jd9s	Ks7s4s2s6s	20000	200.000	4	3	b300b900b1800b8100b15550b20000c///
33	BigBlind	4c7d	Ts8h5dTc7c	-20000	-200.000	5	5	b200b300c/b300b900b1500b10500b19500b19700c//
34	Button	Kd7h		900	9.000	2	2	b300b900b1800f
35	BigBlind	Ad8s	JcTh2d	450	4.500	2	3	b200b450c/b450f
36	Button	QcQs		100	1.000	1	1	b300f
