hand	heroPosition	heroHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	8dJd	Ks9s6d	300	3.000	2	3	b200b300c/b300f
2	Button	8dJs		100	1.000	1	1	b300f
3	BigBlind	4c9d	AdTs3h	300	3.000	2	3	b200b300c/b300f
4	Button	QcQd	KcJh5dQhAh	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
5	BigBlind	Qd5h	8c6s5s	300	3.000	2	3	b200b300c/b450f
6	Button	5cKh		900	9.000	2	2	b300b900b1800f
7	BigBlind	Ac2h		200	2.000	1	2	b200b300f
8	Button	Kd6h		100	1.000	1	1	b300f
9	BigBlind	2sJs		200	2.000	1	2	b200b300f
10	Button	Jc6d	Ac9c7c	250	2.500	2	3	b250c/kb400f
11	BigBlind	Th3s	Ac5s4d	300	3.000	2	3	b200b300c/b300f
12	Button	JcJs	9d5s4h3cKc	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
13	BigBlind	4d5d	Js6s5sTd8s	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
14	Button	3c8c		100	1.000	1	1	b250f
15	BigBlind	9hJh	Kc8s5s	300	3.000	2	3	b200b300c/b300f
16	Button	TcAc	Kc8c4d	300	3.000	2	3	b300c/kb450f
17	BigBlind	Kc4s	KdJsTc2c2s	-20000	-200.000	5	5	b200b300c/b450c/b1150c/b2850b18100c
18	Button	4h6h	Tc9c3d	-7750	-77.500	4	4	b250b750b1250c/b3250b6500b18750f
19	BigBlind	6cQc	Jh9c6h3dQs	-4750	-47.500	4	5	b200b300c/b450c/b1150c/b2850c
20	Button	Qh4s		750	7.500	2	2	b250b750b1250f
21	BigBlind	6h2s	Kc5d5c6s	4800	48.000	4	5	b200b300c/b300b2400b4500c/b7200f
22	Button	JcKs	Kd9d2h3dAd	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
23	BigBlind	5d4h	AsJd3d9s8d	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
24	Button	4c4s		100	1.000	1	1	b300f
25	BigBlind	Jc7h		200	2.000	1	2	b200b300f
26	Button	Kd9s		100	1.000	1	1	b300f
27	BigBlind	2h9h		50	0.500	0	1	f
28	Button	Qd4h	KsTh6s	250	2.500	2	3	b250c/kb250f
29	BigBlind	AdKs	Qs2s2h	450	4.500	2	3	b200b450c/b700f
30	Button	9sJs		100	1.000	1	1	b300f
31	BigBlind	TcJd	Ad8s8cKc	600	6.000	3	4	b200b300c/b300c/b600f
32	Button	QcTs	AhKc4d	1800	18.000	3	4	b300b900b1800c/kb2700f
33	BigBlind	6c5s	KcQd3h	300	3.000	2	3	b200b300c/b300f
34	Button	AcTh	8c6s5c	600	6.000	2	3	b300c/b300b600f
35	BigBlind	TcQs	KsQd4sQc3c	4750	47.500	4	5	b200b300c/b450c/b1150c/b2850c
36	Button	4cTh	Jc6d3d7c2h	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
37	BigBlind	Tc4s	9d8s7dKdKh	6000	60.000	5	6	b200b300c/b300c/b600b3000b5400c/b6000f
38	Button	QcKs	Ac9d7c4c4h	-20000	-200.000	5	7	b300c/b300b1000c/b1100b3900c/kb5200b14800c
39	BigBlind	4h7s	AdTc6s3c5h	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
40	Button	6c4h	Qc5c3dJcTh	-3500	-35.000	5	7	b250b750b1250c/b250b500c/kb1750c/kk
